ID,Cohort,ReferenceCoded,Reference,YearPublished,YearDataCollection,StudyType,Country,AgeMean,AgeRangeLower,AgeRangeUpper,OutcomeDefinitionLabel,Severity,Predictor,Predictor_clean,ReverseD,PredictorCoded,PredictorBroad,Test_dependency,Rcode,metaP_code,effectType,ratesControl,IncludeStudy,IncludeD,
11,Sexton,Sexton_survey,"Sexton, Michelle, Carrie Cuttler, and Laurie K. Mischley. ""A survey of cannabis acute effects and withdrawal symptoms: Differential responses across user types and age."" The Journal of Alternative and Complementary Medicine 25, no. 3 (2019): 326-335.",2019,2013-2018,Observational,US,34.96,18,80,Can.PAR,psych_like,rates,rates,no,rates,rates,NA,sexton2019_canParDF,NA,rates,,Yes,Yes,
12,Sexton,Sexton_survey,"Sexton, Michelle, Carrie Cuttler, and Laurie K. Mischley. ""A survey of cannabis acute effects and withdrawal symptoms: Differential responses across user types and age."" The Journal of Alternative and Complementary Medicine 25, no. 3 (2019): 326-335.",2019,2013-2018,Observational,US,34.96,18,80,Can.HAL,psych_like,rates,rates,no,rates,rates,NA,sexton2019_canHalDF,NA,rates,,Yes,Yes,
,,,,,,,,,,,,,,,,,,,,,,,,,
14,Arendt,Arendt_CUDsample,"Arendt, Mikkel, Raben Rosenberg, Lone Fjordback, Jack Brandholdt, Leslie Foldager, Leo Sher, and Povl Munk-Jørgensen. ""Testing the self-medication hypothesis of depression and aggression in cannabis-dependent subjects."" Psychological medicine 37, no. 7 (2007): 935-945.",2007,2002-2004,Observational,Denmark,22.3,16,30,Can.PAR,psych_like,Depression (present vs. absent),Depression,no,Depression,MentalHealthPersonality,independent,arendt_depression_paranoiaEstimate,pEstimate_arendt_depression_paranoia,cohen,,Yes,Yes,
15,Arendt,Arendt_CUDsample,"Arendt, Mikkel, Raben Rosenberg, Lone Fjordback, Jack Brandholdt, Leslie Foldager, Leo Sher, and Povl Munk-Jørgensen. ""Testing the self-medication hypothesis of depression and aggression in cannabis-dependent subjects."" Psychological medicine 37, no. 7 (2007): 935-945.",2007,2002-2004,Observational,Denmark,22.3,16,30,Can.DEL,psych_like,Depression (present vs. absent),Depression,no,Depression,MentalHealthPersonality,independent,"pes(p=pValueNS_allStudies, n.1=arendt_depressed_n, n.2=arendt_nonDepressed_n)",pEstimate_arendt_depression_delusions,cohen,,Yes,Yes,
16,Arendt,Arendt_CUDsample,"Arendt, Mikkel, Raben Rosenberg, Lone Fjordback, Jack Brandholdt, Leslie Foldager, Leo Sher, and Povl Munk-Jørgensen. ""Testing the self-medication hypothesis of depression and aggression in cannabis-dependent subjects."" Psychological medicine 37, no. 7 (2007): 935-945.",2007,2002-2004,Observational,Denmark,22.3,16,30,Can.DEP,psych_like,Depression (present vs. absent),Depression,no,Depression,MentalHealthPersonality,independent,"pes(p=pValueNS_allStudies, n.1=arendt_depressed_n, n.2=arendt_nonDepressed_n)",pEstimate_arendt_depression_depersionalisation,cohen,,No,No,
17,Arendt,Arendt_CUDsample,"Arendt, Mikkel, Raben Rosenberg, Lone Fjordback, Jack Brandholdt, Leslie Foldager, Leo Sher, and Povl Munk-Jørgensen. ""Testing the self-medication hypothesis of depression and aggression in cannabis-dependent subjects."" Psychological medicine 37, no. 7 (2007): 935-945.",2007,2002-2004,Observational,Denmark,22.3,16,30,Can.HAL,psych_like,Depression (present vs. absent),Depression,no,Depression,MentalHealthPersonality,independent,"pes(p=pValueNS_allStudies, n.1=arendt_depressed_n, n.2=arendt_nonDepressed_n)",pEstimate_arendt_depression_hallucinations,cohen,,Yes,Yes,
18,Arendt,Arendt_CUDsample,"Arendt, Mikkel, Raben Rosenberg, Lone Fjordback, Jack Brandholdt, Leslie Foldager, Leo Sher, and Povl Munk-Jørgensen. ""Testing the self-medication hypothesis of depression and aggression in cannabis-dependent subjects."" Psychological medicine 37, no. 7 (2007): 935-945.",2007,2002-2004,Observational,Denmark,22.3,16,30,Can.PAR,psych_like,Violence (present vs. absent),Violence,no,Agression,MentalHealthPersonality,independent,"pes(p=pValueNS_allStudies, n.1=arendt_violent_n, n.2=arendt_nonViolent_n)",pEstimate_arendt_violence_paranoia,cohen,,Yes,Yes,
19,Arendt,Arendt_CUDsample,"Arendt, Mikkel, Raben Rosenberg, Lone Fjordback, Jack Brandholdt, Leslie Foldager, Leo Sher, and Povl Munk-Jørgensen. ""Testing the self-medication hypothesis of depression and aggression in cannabis-dependent subjects."" Psychological medicine 37, no. 7 (2007): 935-945.",2007,2002-2004,Observational,Denmark,22.3,16,30,Can.DEL,psych_like,Violence (present vs. absent),Violence,no,Agression,MentalHealthPersonality,independent,"pes(p=pValueNS_allStudies, n.1=arendt_violent_n, n.2=arendt_nonViolent_n)",pEstimate_arendt_violence_delusions,cohen,,Yes,Yes,
21,Arendt,Arendt_CUDsample,"Arendt, Mikkel, Raben Rosenberg, Lone Fjordback, Jack Brandholdt, Leslie Foldager, Leo Sher, and Povl Munk-Jørgensen. ""Testing the self-medication hypothesis of depression and aggression in cannabis-dependent subjects."" Psychological medicine 37, no. 7 (2007): 935-945.",2007,2002-2004,Observational,Denmark,22.3,16,30,Can.HAL,psych_like,Violence (present vs. absent),Violence,no,Agression,MentalHealthPersonality,independent,"pes(p=pValueNS_allStudies, n.1=arendt_violent_n, n.2=arendt_nonViolent_n)",pEstimate_arendt_violence_hallucinations,cohen,,Yes,Yes,
22,Arendt,Arendt_CUDsample,"Arendt, Mikkel, Raben Rosenberg, Lone Fjordback, Jack Brandholdt, Leslie Foldager, Leo Sher, and Povl Munk-Jørgensen. ""Testing the self-medication hypothesis of depression and aggression in cannabis-dependent subjects."" Psychological medicine 37, no. 7 (2007): 935-945.",2007,2002-2004,Observational,Denmark,22.3,16,30,Can.DEL,psych_like,rates,rates,no,rates,rates,NA,arendt2007_canDelDF,NA,rates,,Yes,Yes,
23,Arendt,Arendt_CUDsample,"Arendt, Mikkel, Raben Rosenberg, Lone Fjordback, Jack Brandholdt, Leslie Foldager, Leo Sher, and Povl Munk-Jørgensen. ""Testing the self-medication hypothesis of depression and aggression in cannabis-dependent subjects."" Psychological medicine 37, no. 7 (2007): 935-945.",2007,2002-2004,Observational,Denmark,22.3,16,30,Can.PAR,psych_like,rates,rates,no,rates,rates,NA,arendt2007_canParDF,NA,rates,,Yes,Yes,
24,Arendt,Arendt_CUDsample,"Arendt, Mikkel, Raben Rosenberg, Lone Fjordback, Jack Brandholdt, Leslie Foldager, Leo Sher, and Povl Munk-Jørgensen. ""Testing the self-medication hypothesis of depression and aggression in cannabis-dependent subjects."" Psychological medicine 37, no. 7 (2007): 935-945.",2007,2002-2004,Observational,Denmark,22.3,16,30,Can.HAL,psych_like,rates,rates,no,rates,rates,NA,arendt2007_canHalDF,NA,rates,,Yes,Yes,
,,,,,,,,,,,,,,,,,,,,,,,,,
26,Levy,Levy_survey,"Levy, Sharon, and Elissa R. Weitzman. ""Acute Mental Health Symptoms in Adolescent Marijuana Users."" JAMA pediatrics 173, no. 2 (2019): 185-186.",2018,NA,Observational,US,16.6,14,18,Can.HAL,psych_like,Age (younger),Age (young),no,Age,Demographic,independent,"pes(p=pValueNS_allStudies, n.1=40, n.2=106)",pEstimate_levy_hallucination_age,cohen,,Yes,Yes,
27,Levy,Levy_survey,"Levy, Sharon, and Elissa R. Weitzman. ""Acute Mental Health Symptoms in Adolescent Marijuana Users."" JAMA pediatrics 173, no. 2 (2019): 185-186.",2018,NA,Observational,US,16.6,14,18,Can.HAL,psych_like,Gender (male vs. female),Gender (male),no,Gender,Demographic,independent,"pes(p=pValueNS_allStudies, n.1=40, n.2=106)",pEstimate_levy_hallucination_gender,cohen,,Yes,Yes,
28,Levy,Levy_survey,"Levy, Sharon, and Elissa R. Weitzman. ""Acute Mental Health Symptoms in Adolescent Marijuana Users."" JAMA pediatrics 173, no. 2 (2019): 185-186.",2018,NA,Observational,US,16.6,14,18,Can.HAL,psych_like,Ethnicity,Ethnicity,no,Ethnicity,Demographic,independent,"pes(p=pValueNS_allStudies, n.1=40, n.2=106)",pEstimate_levy_hallucination_ethnicity,cohen,,Yes,Yes,
29,Levy,Levy_survey,"Levy, Sharon, and Elissa R. Weitzman. ""Acute Mental Health Symptoms in Adolescent Marijuana Users."" JAMA pediatrics 173, no. 2 (2019): 185-186.",2018,NA,Observational,US,16.6,14,18,Can.HAL,psych_like,GeneralHealth,General health,no,Health,Demographic,independent,"pes(p=pValueNS_allStudies, n.1=40, n.2=106)",pEstimate_levy_hallucination_health,cohen,,Yes,Yes,
30,Levy,Levy_survey,"Levy, Sharon, and Elissa R. Weitzman. ""Acute Mental Health Symptoms in Adolescent Marijuana Users."" JAMA pediatrics 173, no. 2 (2019): 185-186.",2018,NA,Observational,US,16.6,14,18,Can.HAL,psych_like,SocioeconomicStatus,SES,no,SES,Demographic,independent,"pes(p=pValueNS_allStudies, n.1=40, n.2=106)",pEstimate_levy_hallucination_ses,cohen,,Yes,Yes,
31,Levy,Levy_survey,"Levy, Sharon, and Elissa R. Weitzman. ""Acute Mental Health Symptoms in Adolescent Marijuana Users."" JAMA pediatrics 173, no. 2 (2019): 185-186.",2018,NA,Observational,US,16.6,14,18,Can.HAL,psych_like,Cannabis dependency (present vs. absent),Cannabis dependency,no,CannabisSeverity,CannabisHistory,independent,extract_levyHallucinations_CUD,pEstimate_levyHallucinations_CUD,cohen,,Yes,Yes,
32,Levy,Levy_survey,"Levy, Sharon, and Elissa R. Weitzman. ""Acute Mental Health Symptoms in Adolescent Marijuana Users."" JAMA pediatrics 173, no. 2 (2019): 185-186.",2018,NA,Observational,US,16.6,14,18,Can.HAL,psych_like,Frequency (high vs. low),Frequency (heavy),no,CannabisSeverity,CannabisHistory,independent,extract_levyHallucinations_frequency,pEstimate_levyHallucinations_frequency,cohen,,Yes,Yes,
33,Levy,Levy_survey,"Levy, Sharon, and Elissa R. Weitzman. ""Acute Mental Health Symptoms in Adolescent Marijuana Users."" JAMA pediatrics 173, no. 2 (2019): 185-186.",2018,NA,Observational,US,16.6,14,18,Can.HAL,psych_like,Anxiety (present vs. absent),Anxiety,no,Anxiety,MentalHealthPersonality,independent,extract_levyHallucinations_anxiety,pEstimate_levyHallucinations_anxiety,cohen,,Yes,Yes,
34,Levy,Levy_survey,"Levy, Sharon, and Elissa R. Weitzman. ""Acute Mental Health Symptoms in Adolescent Marijuana Users."" JAMA pediatrics 173, no. 2 (2019): 185-186.",2018,NA,Observational,US,16.6,14,18,Can.HAL,psych_like,Depression (present vs. absent),Depression,no,Depression,MentalHealthPersonality,independent,extract_levyHallucinations_depression,pEstimate_levyHallucinations_depression,cohen,,Yes,Yes,
35,Levy,Levy_survey,"Levy, Sharon, and Elissa R. Weitzman. ""Acute Mental Health Symptoms in Adolescent Marijuana Users."" JAMA pediatrics 173, no. 2 (2019): 185-186.",2018,NA,Observational,US,16.6,14,18,Can.PAR,psych_like,Age,Age,no,Age,Demographic,independent,"pes(p=pValueNS_allStudies, n.1=40, n.2=106)",pEstimate_levy_paranoia_age,cohen,,Yes,Yes,
36,Levy,Levy_survey,"Levy, Sharon, and Elissa R. Weitzman. ""Acute Mental Health Symptoms in Adolescent Marijuana Users."" JAMA pediatrics 173, no. 2 (2019): 185-186.",2018,NA,Observational,US,16.6,14,18,Can.PAR,psych_like,Gender (male vs. female),Gender (male),no,Gender,Demographic,independent,"pes(p=pValueNS_allStudies, n.1=40, n.2=106)",pEstimate_levy_paranoia_gender,cohen,,Yes,Yes,
37,Levy,Levy_survey,"Levy, Sharon, and Elissa R. Weitzman. ""Acute Mental Health Symptoms in Adolescent Marijuana Users."" JAMA pediatrics 173, no. 2 (2019): 185-186.",2018,NA,Observational,US,16.6,14,18,Can.PAR,psych_like,Ethnicity,Ethnicity,no,Ethnicity,Demographic,independent,"pes(p=pValueNS_allStudies, n.1=40, n.2=106)",pEstimate_levy_paranoia_ethnicity,cohen,,Yes,Yes,
38,Levy,Levy_survey,"Levy, Sharon, and Elissa R. Weitzman. ""Acute Mental Health Symptoms in Adolescent Marijuana Users."" JAMA pediatrics 173, no. 2 (2019): 185-186.",2018,NA,Observational,US,16.6,14,18,Can.PAR,psych_like,GeneralHealth,General health,no,Health,Demographic,independent,"pes(p=pValueNS_allStudies, n.1=40, n.2=106)",pEstimate_levy_paranoia_health,cohen,,Yes,Yes,
39,Levy,Levy_survey,"Levy, Sharon, and Elissa R. Weitzman. ""Acute Mental Health Symptoms in Adolescent Marijuana Users."" JAMA pediatrics 173, no. 2 (2019): 185-186.",2018,NA,Observational,US,16.6,14,18,Can.PAR,psych_like,SocioeconomicStatus,SES,no,SES,Demographic,independent,"pes(p=pValueNS_allStudies, n.1=40, n.2=106)",pEstimate_levy_paranoia_ses,cohen,,Yes,Yes,
40,Levy,Levy_survey,"Levy, Sharon, and Elissa R. Weitzman. ""Acute Mental Health Symptoms in Adolescent Marijuana Users."" JAMA pediatrics 173, no. 2 (2019): 185-186.",2018,NA,Observational,US,16.6,14,18,Can.PAR,psych_like,Cannabis dependency (present vs. absent),Cannabis dependency,no,CannabisSeverity,CannabisHistory,independent,extract_levyParanoia_CUD,pEstimate_levyParanoia_CUD,cohen,,Yes,Yes,
41,Levy,Levy_survey,"Levy, Sharon, and Elissa R. Weitzman. ""Acute Mental Health Symptoms in Adolescent Marijuana Users."" JAMA pediatrics 173, no. 2 (2019): 185-186.",2018,NA,Observational,US,16.6,14,18,Can.PAR,psych_like,Frequency (heavy vs. light),Frequency (heavy),no,CannabisSeverity,CannabisHistory,independent,extract_levyParanoia_frequency,pEstimate_levyParanoia_frequency,cohen,,Yes,Yes,
42,Levy,Levy_survey,"Levy, Sharon, and Elissa R. Weitzman. ""Acute Mental Health Symptoms in Adolescent Marijuana Users."" JAMA pediatrics 173, no. 2 (2019): 185-186.",2018,NA,Observational,US,16.6,14,18,Can.PAR,psych_like,Anxiety (present vs. absent),Anxiety,no,Anxiety,CannabisHistory,independent,extract_levyParanoia_anxiety,pEstimate_levyParanoia_anxiety,cohen,,Yes,Yes,
43,Levy,Levy_survey,"Levy, Sharon, and Elissa R. Weitzman. ""Acute Mental Health Symptoms in Adolescent Marijuana Users."" JAMA pediatrics 173, no. 2 (2019): 185-186.",2018,NA,Observational,US,16.6,14,18,Can.PAR,psych_like,Depression (present vs. absent),Depression,no,Depression,CannabisHistory,independent,extract_levyParanoia_depression,pEstimate_levyParanoia_depression,cohen,,Yes,Yes,
44,Levy,Levy_survey,"Levy, Sharon, and Elissa R. Weitzman. ""Acute Mental Health Symptoms in Adolescent Marijuana Users."" JAMA pediatrics 173, no. 2 (2019): 185-186.",2018,NA,Observational,US,16.6,14,18,Can.HAL,psych_like,rates,rates,no,rates,rates,NA,levy2019_canHalDF,NA,rates,,Yes,Yes,
45,Levy,Levy_survey,"Levy, Sharon, and Elissa R. Weitzman. ""Acute Mental Health Symptoms in Adolescent Marijuana Users."" JAMA pediatrics 173, no. 2 (2019): 185-186.",2018,NA,Observational,US,16.6,14,18,Can.PAR,psych_like,rates,rates,no,rates,rates,NA,levy2019_canParDF,NA,rates,,Yes,Yes,
,,,,,,,,,,,,,,,,,,,,,,,,,
47,Barkus,Barkus_sample,"Barkus, Emma, and Shon Lewis. ""Schizotypy and psychosis-like experiences from recreational cannabis in a non-clinical sample."" Psychological Medicine 38, no. 9 (2008): 1267-1276.",2008,NA,Observational,UK,22,NA,NA,Can.PLE,psych_like,Schizotype (high vs. low),Schizotype (high),no,PsychosisLiability,MentalHealthPersonality,independent,"fes(barkus_schizotype_psych_f, barkus_n/2, barkus_n/2,  dig=20)",pEstimate_barkus_schizotype_psych,cohen,,Yes,Yes,
,,,,,,,,,,,,,,,,,,,,,,,,,
49,Bianconi,GAP_EUGEI,"Bianconi, F., M. Bonomo, A. Marconi, A. Kolliakou, S. A. Stilo, C. Iyegbe, P. Gurillo Muñoz et al. ""Differences in cannabis-related experiences between patients with a first episode of psychosis and controls."" Psychological medicine 46, no. 5 (2016): 995-1003.",2016,2005-2011,Observational,Uk,28.5,NA,NA,Can.PAR,psych_like,Pre-existing psychosis (present vs. absent),Pre-existing psychosis,no,PsychosisLiability,MentalHealthPersonality,independent,extracted_bianconi_PsychosisLiability_paranoia,pEstimate_bianconi_patients_paranoia,cohen,,Yes,Yes,
50,Bianconi,GAP_EUGEI,"Bianconi, F., M. Bonomo, A. Marconi, A. Kolliakou, S. A. Stilo, C. Iyegbe, P. Gurillo Muñoz et al. ""Differences in cannabis-related experiences between patients with a first episode of psychosis and controls."" Psychological medicine 46, no. 5 (2016): 995-1003.",2016,2005-2011,Observational,Uk,28.5,NA,NA,Can.HAL,psych_like,Pre-existing psychosis (present vs. absent),Pre-existing psychosis,no,PsychosisLiability,MentalHealthPersonality,independent,extracted_bianconi_PsychosisLiability_hallucinations,pEstimate_bianconi_patients_hallucination,cohen,,Yes,Yes,
51,Bianconi,GAP_EUGEI,"Bianconi, F., M. Bonomo, A. Marconi, A. Kolliakou, S. A. Stilo, C. Iyegbe, P. Gurillo Muñoz et al. ""Differences in cannabis-related experiences between patients with a first episode of psychosis and controls."" Psychological medicine 46, no. 5 (2016): 995-1003.",2016,2005-2011,Observational,Uk,28.5,NA,NA,Can.PLE,psych_like,Pre-existing psychosis (present vs. absent),Pre-existing psychosis,no,PsychosisLiability,MentalHealthPersonality,independent,extracted_bianconi_Caseness_PsychosisLike_regression,pEstimate_bianconi_caseness,cohen,,Yes,Yes,
52,Bianconi,GAP_EUGEI,"Bianconi, F., M. Bonomo, A. Marconi, A. Kolliakou, S. A. Stilo, C. Iyegbe, P. Gurillo Muñoz et al. ""Differences in cannabis-related experiences between patients with a first episode of psychosis and controls."" Psychological medicine 46, no. 5 (2016): 995-1003.",2016,2005-2011,Observational,Uk,28.5,NA,NA,Can.PLE,psych_like,CannabisType (high vs. low potency),Cannabis potency (high),no,THCcontent,CannabisStrain,independent,extracted_bianconi_TypeCan_PsychosisLike_regression,pEstimate_bianconi_typeCan,cohen,,Yes,Yes,
53,Bianconi,GAP_EUGEI,"Bianconi, F., M. Bonomo, A. Marconi, A. Kolliakou, S. A. Stilo, C. Iyegbe, P. Gurillo Muñoz et al. ""Differences in cannabis-related experiences between patients with a first episode of psychosis and controls."" Psychological medicine 46, no. 5 (2016): 995-1003.",2016,2005-2011,Observational,Uk,28.5,NA,NA,Can.PLE,psych_like,CannabisBeliefs,Cannabis beliefs,no,Other,Other,independent,extracted_bianconi_belief_PsychosisLike_regression,pEstimate_bianconi_belief,cohen,,Yes,Yes,
54,Bianconi,GAP_EUGEI,"Bianconi, F., M. Bonomo, A. Marconi, A. Kolliakou, S. A. Stilo, C. Iyegbe, P. Gurillo Muñoz et al. ""Differences in cannabis-related experiences between patients with a first episode of psychosis and controls."" Psychological medicine 46, no. 5 (2016): 995-1003.",2016,2005-2011,Observational,Uk,28.5,NA,NA,Can.PLE,psych_like,AlcoholUse,Alcohol use,no,Alcohol,OtherDrugs,independent,"pes(p=pValueNS_allStudies, n.1=bianconi_regression_n/2, n.2=bianconi_regression_n/2)",pEstimate_bianconi_ns,cohen,,Yes,Yes,
55,Bianconi,GAP_EUGEI,"Bianconi, F., M. Bonomo, A. Marconi, A. Kolliakou, S. A. Stilo, C. Iyegbe, P. Gurillo Muñoz et al. ""Differences in cannabis-related experiences between patients with a first episode of psychosis and controls."" Psychological medicine 46, no. 5 (2016): 995-1003.",2016,2005-2011,Observational,Uk,28.5,NA,NA,Can.PLE,psych_like,OtherDrugUse,Other drug use,no,OtherDrugs,OtherDrugs,independent,"pes(p=pValueNS_allStudies, n.1=bianconi_regression_n/2, n.2=bianconi_regression_n/2)",pEstimate_bianconi_ns,cohen,,No,No,
56,Bianconi,GAP_EUGEI,"Bianconi, F., M. Bonomo, A. Marconi, A. Kolliakou, S. A. Stilo, C. Iyegbe, P. Gurillo Muñoz et al. ""Differences in cannabis-related experiences between patients with a first episode of psychosis and controls."" Psychological medicine 46, no. 5 (2016): 995-1003.",2016,2005-2011,Observational,Uk,28.5,NA,NA,Can.PLE,psych_like,CigaretteUse,Cigarette use,no,Nicotine,OtherDrugs,independent,"pes(p=pValueNS_allStudies, n.1=bianconi_regression_n/2, n.2=bianconi_regression_n/2)",pEstimate_bianconi_ns,cohen,,Yes,Yes,
57,Bianconi,GAP_EUGEI,"Bianconi, F., M. Bonomo, A. Marconi, A. Kolliakou, S. A. Stilo, C. Iyegbe, P. Gurillo Muñoz et al. ""Differences in cannabis-related experiences between patients with a first episode of psychosis and controls."" Psychological medicine 46, no. 5 (2016): 995-1003.",2016,2005-2011,Observational,Uk,28.5,NA,NA,Can.PLE,psych_like,Money spent on cannabis,Cannabis amount (high),no,CannabisSeverity,CannabisHistory,independent,"pes(p=pValueNS_allStudies, n.1=bianconi_regression_n/2, n.2=bianconi_regression_n/2)",pEstimate_bianconi_ns,cohen,,Yes,Yes,
58,Bianconi,GAP_EUGEI,"Bianconi, F., M. Bonomo, A. Marconi, A. Kolliakou, S. A. Stilo, C. Iyegbe, P. Gurillo Muñoz et al. ""Differences in cannabis-related experiences between patients with a first episode of psychosis and controls."" Psychological medicine 46, no. 5 (2016): 995-1003.",2016,2005-2011,Observational,Uk,28.5,NA,NA,Can.PLE,psych_like,DurationCannabisUse,Long-term cannabis use,no,CannabisDuration,CannabisHistory,independent,"pes(p=pValueNS_allStudies, n.1=bianconi_regression_n/2, n.2=bianconi_regression_n/2)",pEstimate_bianconi_ns,cohen,,Yes,Yes,
59,Bianconi,GAP_EUGEI,"Bianconi, F., M. Bonomo, A. Marconi, A. Kolliakou, S. A. Stilo, C. Iyegbe, P. Gurillo Muñoz et al. ""Differences in cannabis-related experiences between patients with a first episode of psychosis and controls."" Psychological medicine 46, no. 5 (2016): 995-1003.",2016,2005-2011,Observational,Uk,28.5,NA,NA,Can.PLE,psych_like,FrequencyCannabisUse,Frequency (heavy),no,CannabisSeverity,CannabisHistory,independent,"pes(p=pValueNS_allStudies, n.1=bianconi_regression_n/2, n.2=bianconi_regression_n/2)",pEstimate_bianconi_ns,cohen,,Yes,Yes,
60,Bianconi,GAP_EUGEI,"Bianconi, F., M. Bonomo, A. Marconi, A. Kolliakou, S. A. Stilo, C. Iyegbe, P. Gurillo Muñoz et al. ""Differences in cannabis-related experiences between patients with a first episode of psychosis and controls."" Psychological medicine 46, no. 5 (2016): 995-1003.",2016,2005-2011,Observational,Uk,28.5,NA,NA,Can.PAR,psych_like,rates,rates,no,rates,rates,NA,bianconi2016_canParDF,NA,rates,,Yes,Yes,
61,Bianconi,GAP_EUGEI,"Bianconi, F., M. Bonomo, A. Marconi, A. Kolliakou, S. A. Stilo, C. Iyegbe, P. Gurillo Muñoz et al. ""Differences in cannabis-related experiences between patients with a first episode of psychosis and controls."" Psychological medicine 46, no. 5 (2016): 995-1003.",2016,2005-2011,Observational,Uk,28.5,NA,NA,Can.HAL,psych_like,rates,rates,no,rates,rates,NA,bianconi2016_canHalDF,NA,rates,,Yes,Yes,
,,,,,,,,,,,,,,,,,,,,,,,,,
63,Morgan,Morgan_Curran_MRC,"Morgan, C. J. A., T. P. Freeman, J. C. H. V. Powell, and H. V. Curran. ""AKT1 genotype moderates the acute psychotomimetic effects of naturalistically smoked cannabis in young cannabis smokers."" Translational psychiatry 6, no. 2 (2016): e738.",2016,NA,QuasiExperimental,UK,20.6,16,23,High.PLE,psych_like,"AKT1 (rs2494732, risk allele: C)","AKT1 (rs2494732, risk allele: C)",no,AKT1,excluded,independent,"compute.es::tes(2.443 , n_morgan/2, n_morgan/2, dig=20)",pEstimate_morgan_akt,cohen,,Yes,Yes,
